time,x_pos,y_pos,velocity,rotation
1.52439,2.03063,-0.5,3.04879,0
1.53015,2.04823,-0.5,3.06031,0
1.53587,2.06576,-0.5,3.07174,0
1.54155,2.08322,-0.5,3.08309,0
1.54718,2.10062,-0.5,3.09436,0
1.55277,2.11796,-0.5,3.10555,0
1.55833,2.13523,-0.5,3.11665,0
1.56384,2.15245,-0.5,3.12768,0
1.56931,2.16959,-0.5,3.13862,0
1.57475,2.18668,-0.5,3.14949,0
1.58014,2.2037,-0.5,3.16028,0
1.5855,2.22067,-0.5,3.171,0
1.59082,2.23757,-0.5,3.18164,0
1.59611,2.25441,-0.5,3.19221,0
1.60135,2.27119,-0.5,3.20271,0
1.60657,2.28791,-0.5,3.21313,0
1.61174,2.30457,-0.5,3.22349,0
1.61688,2.32117,-0.5,3.23377,0
1.62199,2.33771,-0.5,3.24398,0
1.62707,2.3542,-0.5,3.25413,0
1.63211,2.37062,-0.5,3.26421,0
1.63711,2.38699,-0.5,3.27422,0
1.64209,2.4033,-0.5,3.28417,0
1.64703,2.41955,-0.5,3.29405,0
1.65194,2.43575,-0.5,3.30387,0
1.65681,2.45189,-0.5,3.31363,0
1.66166,2.46797,-0.5,3.32332,0
1.66648,2.484,-0.5,3.33295,0
1.67126,2.49997,-0.5,3.34252,0
1.67602,2.51589,-0.5,3.35204,0
1.68074,2.53175,-0.5,3.36149,0
1.68544,2.54756,-0.5,3.37088,0
1.69011,2.56332,-0.5,3.38021,0
1.69475,2.57902,-0.5,3.38949,0
1.69936,2.59466,-0.5,3.39871,0
1.70394,2.61026,-0.5,3.40788,0
1.70849,2.6258,-0.5,3.41698,0
1.71302,2.64129,-0.5,3.42604,0
1.71752,2.65673,-0.5,3.43504,0
1.72199,2.67212,-0.5,3.44399,0
1.72644,2.68745,-0.5,3.45288,0
1.73086,2.70274,-0.5,3.46172,0
1.73526,2.71798,-0.5,3.47052,0
1.73963,2.73316,-0.5,3.47926,0
1.74397,2.7483,-0.5,3.48794,0
1.74829,2.76338,-0.5,3.49658,0
1.75259,2.77842,-0.5,3.50518,0
1.75686,2.79341,-0.5,3.51372,0
1.76111,2.80835,-0.5,3.52221,0
1.76533,2.82324,-0.5,3.53066,0
1.76953,2.83809,-0.5,3.53906,0
1.77371,2.85289,-0.5,3.54741,0
1.77786,2.86764,-0.5,3.55572,0
1.78199,2.88235,-0.5,3.56398,0
1.7861,2.89701,-0.5,3.5722,0
1.79019,2.91162,-0.5,3.58037,0
1.79425,2.92619,-0.5,3.5885,0
1.79829,2.94071,-0.5,3.59659,0
1.80231,2.95519,-0.5,3.60463,0
1.80631,2.96963,-0.5,3.61263,0
1.81029,2.98402,-0.5,3.62059,0
1.81425,2.99837,-0.5,3.62851,0
1.81819,3.01268,-0.5,3.63638,0
1.82211,3.02694,-0.5,3.64422,0
1.82601,3.04116,-0.5,3.65201,0
1.82989,3.05534,-0.5,3.65977,0
1.83374,3.06947,-0.5,3.66749,0
1.83758,3.08357,-0.5,3.67517,0
1.8414,3.09762,-0.5,3.68281,0
1.8452,3.11164,-0.5,3.69041,0
1.84899,3.12561,-0.5,3.69797,0
1.85275,3.13955,-0.5,3.7055,0
1.8565,3.15344,-0.5,3.713,0
1.86023,3.1673,-0.5,3.72045,0
1.86394,3.18111,-0.5,3.72787,0
1.86763,3.19489,-0.5,3.73526,0
1.8713,3.20863,-0.5,3.74261,0
1.87496,3.22233,-0.5,3.74992,0
1.8786,3.236,-0.5,3.7572,0
1.88223,3.24963,-0.5,3.76445,0
1.88583,3.26322,-0.5,3.77166,0
1.88942,3.27678,-0.5,3.77885,0
1.893,3.2903,-0.5,3.786,0
1.89656,3.30378,-0.5,3.79311,0
1.9001,3.31723,-0.5,3.8002,0
1.90363,3.33065,-0.5,3.80725,0
1.90714,3.34403,-0.5,3.81427,0
1.91063,3.35737,-0.5,3.82126,0
1.91411,3.37069,-0.5,3.82823,0
1.91758,3.38397,-0.5,3.83516,0
1.92103,3.39721,-0.5,3.84206,0
1.92447,3.41043,-0.5,3.84893,0
1.92789,3.42361,-0.5,3.85577,0
1.93129,3.43676,-0.5,3.86259,0
1.93469,3.44988,-0.5,3.86938,0
1.93807,3.46296,-0.5,3.87613,0
1.94143,3.47602,-0.5,3.88287,0
1.94478,3.48905,-0.5,3.88957,0
1.94812,3.50204,-0.5,3.89625,0
1.95145,3.51501,-0.5,3.9029,0
1.95476,3.52795,-0.5,3.90952,0
1.95806,3.54085,-0.5,3.91612,0
1.96135,3.55373,-0.5,3.92269,0
1.96462,3.56659,-0.5,3.92924,0
1.96788,3.57941,-0.5,3.93576,0
1.97113,3.5922,-0.5,3.94226,0
1.97436,3.60497,-0.5,3.94873,0
1.97759,3.61772,-0.5,3.95518,0
1.9808,3.63043,-0.5,3.9616,0
1.984,3.64312,-0.5,3.968,0
1.98719,3.65579,-0.5,3.97438,0
1.99037,3.66842,-0.5,3.98074,0
1.99353,3.68104,-0.5,3.98707,0
1.99669,3.69363,-0.5,3.99338,0
1.99983,3.70619,-0.5,3.99967,0
2.00297,3.71873,-0.5,4.00593,0
2.0061,3.73125,-0.5,4,0
2.00922,3.74374,-0.5,4,0
2.01234,3.75622,-0.5,4,0
2.01545,3.76866,-0.5,4,0
2.01856,3.78109,-0.5,4,0
2.02166,3.7935,-0.5,4,0
2.02475,3.80588,-0.5,4,0
2.02784,3.81824,-0.5,4,0
2.03093,3.83059,-0.5,4,0
2.03401,3.84291,-0.5,4,0
2.03709,3.85521,-0.5,4,0
2.04016,3.86749,-0.5,4,0
2.04322,3.87976,-0.5,4,0
2.04628,3.892,-0.5,4,0
2.04934,3.90423,-0.5,4,0
2.05239,3.91643,-0.5,4,0
2.05544,3.92862,-0.5,4,0
2.05848,3.9408,-0.5,4,0
2.06152,3.95295,-0.5,4,0
2.06456,3.96509,-0.5,4,0
2.06759,3.97722,-0.5,4,0
2.07061,3.98932,-0.5,4,0
2.07364,4.00141,-0.5,4,0
