time,x_pos,y_pos,velocity,rotation
6.11959,5.5,5.29772,2,1.5708
6.12984,5.5,5.31821,2,1.5708
6.14009,5.5,5.3387,2,1.5708
6.15033,5.5,5.35919,2,1.5708
6.16057,5.5,5.37966,2,1.5708
6.1708,5.5,5.40013,2,1.5708
6.18103,5.5,5.42059,2,1.5708
6.19125,5.5,5.44104,2,1.5708
6.20147,5.5,5.46148,2,1.5708
6.21169,5.5,5.4819,2,1.5708
6.22189,5.5,5.50232,2,1.5708
6.2321,5.5,5.52273,2,1.5708
6.2423,5.5,5.54313,2,1.5708
6.25249,5.5,5.56351,2,1.5708
6.26267,5.5,5.58388,2,1.5708
6.27285,5.5,5.60424,2,1.5708
6.28303,5.5,5.62459,2,1.5708
6.29319,5.5,5.64492,2,1.5708
6.30335,5.5,5.66524,2,1.5708
6.3135,5.5,5.68554,2,1.5708
6.32365,5.5,5.70583,2,1.5708
6.33378,5.5,5.7261,2,1.5708
6.34391,5.5,5.74636,2,1.5708
6.35403,5.5,5.7666,2,1.5708
6.36414,5.5,5.78682,2,1.5708
6.37425,5.5,5.80702,2,1.5708
6.38434,5.5,5.82721,2,1.5708
6.39443,5.5,5.84738,2,1.5708
6.4045,5.5,5.86753,2,1.5708
6.41457,5.5,5.88767,2,1.5708
6.42462,5.5,5.90778,2,1.5708
6.43467,5.5,5.92787,2,1.5708
6.44471,5.5,5.94794,2,1.5708
6.45473,5.5,5.968,2,1.5708
6.46475,5.5,5.98803,2,1.5708
6.47475,5.5,6.00803,2,1.5708
6.48474,5.5,6.02802,2,1.5708
6.49473,5.5,6.04798,2,1.5708
6.5047,5.5,6.06792,2,1.5708
6.51465,5.5,6.08784,2,1.5708
6.5246,5.5,6.10773,2,1.5708
6.53453,5.5,6.1276,2,1.5708
6.54446,5.5,6.14744,2,1.5708
6.55436,5.5,6.16726,2,1.5708
6.56426,5.5,6.18705,2,1.5708
6.57414,5.5,6.20682,2,1.5708
6.58401,5.5,6.22655,2,1.5708
6.59387,5.5,6.24627,2,1.5708
6.60371,5.5,6.26595,2,1.5708
6.61354,5.5,6.28561,2,1.5708
6.62335,5.5,6.30523,2,1.5708
6.63315,5.5,6.32483,2,1.5708
6.64293,5.5,6.3444,2,1.5708
6.6527,5.5,6.36394,2,1.5708
6.66246,5.5,6.38345,2,1.5708
6.6722,5.5,6.40292,2,1.5708
6.68192,5.5,6.42237,2,1.5708
6.69163,5.5,6.44178,2,1.5708
6.70132,5.5,6.46117,2,1.5708
6.71099,5.5,6.48052,2,1.5708
6.72065,5.5,6.49983,2,1.5708
6.73029,5.5,6.51912,2,1.5708
6.73992,5.5,6.53837,2,1.5708
6.74952,5.5,6.55758,2,1.5708
6.75911,5.5,6.57676,2,1.5708
6.76869,5.5,6.59591,2,1.5708
6.77824,5.5,6.61501,2,1.5708
6.78778,5.5,6.63409,2,1.5708
6.7973,5.5,6.65312,2,1.5708
6.8068,5.5,6.67212,2,1.5708
6.81628,5.5,6.69108,2,1.5708
6.82574,5.5,6.71001,2,1.5708
6.83518,5.5,6.72889,2,1.5708
6.8446,5.5,6.74774,2,1.5708
6.85401,5.5,6.76655,2,1.5708
6.86339,5.5,6.78531,2,1.5708
6.87275,5.5,6.80404,2,1.5708
6.8821,5.5,6.82272,2,1.5708
6.89142,5.5,6.84137,2,1.5708
6.90072,5.5,6.85997,2,1.5708
6.91,5.5,6.87853,2,1.5708
6.91926,5.5,6.89705,2,1.5708
6.9285,5.5,6.91553,2,1.5708
6.93772,5.5,6.93396,2,1.5708
6.94691,5.5,6.95235,2,1.5708
6.95608,5.5,6.9707,2,1.5708
6.96523,5.5,6.98899,2,1.5708
6.97436,5.5,7.00725,2,1.5708
6.98346,5.5,7.02546,2,1.5708
6.99254,5.5,7.04362,2,1.5708
7.0016,5.5,7.06174,2,1.5708
7.01064,5.5,7.07981,2,1.5708
7.01965,5.5,7.09783,2,1.5708
7.02863,5.5,7.1158,2,1.5708
7.0376,5.5,7.13373,2,1.5708
7.04654,5.5,7.1516,2,1.5708
7.05545,5.5,7.16943,2,1.5708
7.06434,5.5,7.18721,2,1.5708
7.0732,5.5,7.20494,2,1.5708
7.08204,5.5,7.22261,2,1.5708
7.09085,5.5,7.24024,2,1.5708
7.09964,5.5,7.25781,2,1.5708
7.1084,5.5,7.27534,2,1.5708
7.11714,5.5,7.29281,2,1.5708
7.12585,5.5,7.31022,2,1.5708
7.13453,5.5,7.32759,2,1.5708
7.14318,5.5,7.3449,2,1.5708
7.15181,5.5,7.36215,2,1.5708
7.16041,5.5,7.37936,2,1.5708
7.16899,5.5,7.3965,2,1.5708
7.17753,5.5,7.41359,2,1.5708
7.18605,5.5,7.43063,2,1.5708
7.19454,5.5,7.44761,2,1.5708
7.203,5.5,7.46453,2,1.5708
7.21143,5.5,7.48139,2,1.5708
7.21983,5.5,7.4982,2,1.5708
7.22821,5.5,7.51495,2,1.5708
7.23655,5.5,7.53164,2,1.5708
7.24487,5.5,7.54827,2,1.5708
7.25315,5.5,7.56484,2,1.5708
7.26141,5.5,7.58135,2,1.5708
7.26963,5.5,7.5978,2,1.5708
7.27783,5.5,7.61419,2,1.5708
7.28599,5.5,7.63052,2,1.5708
7.29413,5.5,7.64678,2,1.5708
7.30223,5.5,7.66299,2,1.5708
7.3103,5.5,7.67913,2,1.5708
7.31834,5.5,7.69521,2,1.5708
7.32635,5.5,7.71122,2,1.5708
7.33432,5.5,7.72717,2,1.5708
7.34226,5.5,7.74306,2,1.5708
7.35017,5.5,7.75888,2,1.5708
7.35805,5.5,7.77463,2,1.5708
7.3659,5.5,7.79032,2,1.5708
7.37371,5.5,7.80595,2,1.5708
7.38149,5.5,7.8215,2,1.5708
7.38923,5.5,7.83699,2,1.5708
7.39694,5.5,7.85241,2,1.5708
7.40462,5.5,7.86777,2,1.5708
7.41226,5.5,7.88305,2,1.5708
7.41987,5.5,7.89827,2,1.5708
7.42744,5.5,7.91341,2,1.5708
7.43498,5.5,7.92849,2,1.5708
7.44248,5.5,7.9435,2,1.5708
7.44995,5.5,7.95843,2,1.5708
7.45738,5.5,7.9733,2,1.5708
7.46478,5.5,7.98809,2,1.5708
7.47214,5.5,8.00281,2,1.5708
7.47946,5.5,8.01746,2,1.5708
7.48675,5.5,8.03203,2,1.5708
7.494,5.5,8.04653,2,1.5708
7.50121,5.5,8.06096,2,1.5708
7.50839,5.5,8.07531,2,1.5708
